comment,username,timestamp
"This was insane. they even used a kid, to take down their political opponent. not only that, they chose a person with a republican background, hoping that the republicans would take the blame, and not the democrats. this way they can safely endorse Kamala Harris.",@The.Amnesia.Channel,8/22/2024 11:58
Lots of blud,@mikedeezy,8/22/2024 11:58
What the flip?,@EXTREMELIFTER,8/22/2024 11:58
"I don't believe trump was in on it, even though it was clearly planned. But why was his hand clear of any bl○○d after touching his ear? Everything about this is so very strange.",@Leslie_Knope,8/21/2024 11:58
is a fake,@demhaish,8/21/2024 11:58
fake,@demhaish,8/21/2024 11:58
OH NO,@Roblox2.012,8/21/2024 11:58
"I think his mate saw me....
YES, YES HE DID...",@BeepBoopBapBap,8/21/2024 11:58
0:22 Aura.,@therecorderpals4257,8/20/2024 11:58
Thank GOD it was his ear and not the head otherwise he could have been the next kennedy thank you GOD for protecting mr DONALD J TRUMP AMEN.,@user-st7wy2ok2o,8/20/2024 11:58
Since when do you get appointed someone who is smaller than you to protect you?,@Bakujio,8/20/2024 11:58
5 feet women bodyguard save 6 feet tall Trump...wooww... soo called world class security service ,@amiteshraj1478,8/20/2024 11:58
"Harris Walz 2024!
🇺🇲",@rico5393,8/19/2024 11:58
STAGED. Fake by the Trump campaign but BADLY faked.,@DanK123,8/19/2024 11:58
its crazy how he was the only one to get shot with all those people behind him,@sylvestercrowley,8/19/2024 11:58
i hope the people behind him didn't get hit,@TheGingusa,8/19/2024 11:58
"Fake, fake, fake.",@katwil89,8/19/2024 11:58
"Damn This was a month ago, time flies.",@TheMormonGuy-ph,8/19/2024 11:58
I watch this over and over hoping he doesn't miss each time.,@Xervello,8/19/2024 11:58
The shot was miss..wat happen to the man behind,@puilanmeifooprint1659,8/19/2024 11:58
Badass,@marcoarchilaus,8/19/2024 11:58
This shit fake af lol,@gerroddunn4455,8/19/2024 11:58
Trumpet ( take a look what happened in my fake shoot) ,@amr00416,8/19/2024 11:58
"I don't like you,but im glad you are alright",@kylesargert3336,8/19/2024 11:58
There is a definite conspiracy against Trump in the government. I believe they deliberately let that happen so he would be killed. Trump should hire his own security.,@argekay1960,8/19/2024 11:58
Bro got shot before Half-Life 3.,@yourusualtoaster8861,8/19/2024 11:58
